product_id;product_name;price_id;price;price_datetime
1;bread;1;100;12.02.2022
2;buckwheat;2;150;12.02.2022
3;rice;3;80;12.02.2022
4;spagetti;4;50;12.02.2022
5;coffee;5;500;12.02.2022
6;tea;6;150;12.02.2022
7;milk;7;75;12.02.2022
8;lemons;8;320;12.02.2022
9;oil;9;230;12.02.2022
10;butter;10;145;12.02.2022
1;bread;11;105;14.02.2022
2;buckwheat;12;155;14.02.2022
3;rice;13;85;14.02.2022
4;spagetti;14;55;14.02.2022
5;coffee;15;505;14.02.2022
6;tea;16;157;14.02.2022
7;milk;17;80;14.02.2022
8;lemons;18;352;14.02.2022
9;oil;19;232;14.02.2022
10;butter;20;149;14.02.2022
4;spagetti;21;56;15.02.2022
5;coffee;22;506;15.02.2022
6;tea;23;160;15.02.2022
7;milk;24;82;15.02.2022
1;bread;25;107;16.02.2022
2;buckwheat;26;160;16.02.2022
3;rice;27;87;17.02.2022
6;tea;28;160;17.02.2022
9;oil;29;234;17.02.2022
5;coffee;30;505;18.02.2022
7;milk;31;81;19.02.2022
8;lemons;32;354;19.02.2022
4;spagetti;33;70;20.02.2022
7;milk;34;90;20.02.2022
9;oil;35;250;20.02.2022
5;coffee;36;600;21.02.2022
6;tea;37;180;21.02.2022
2;buckwheat;38;130;22.02.2022
8;lemons;39;300;22.02.2022
10;butter;40;160;22.02.2022
7;milk;41;83;23.02.2022
9;oil;42;224;23.02.2022
4;spagetti;43;68;23.02.2022
3;rice;44;78;24.02.2022
4;spagetti;45;49;24.02.2022
2;buckwheat;46;127;24.02.2022
9;oil;47;250;25.02.2022
10;butter;48;173;25.02.2022
5;coffee;49;560;26.02.2022
6;tea;50;197;26.02.2022
